Reading override parameter file '/home/franco/Documentos/Multistage_stochastic_fair_allocation/results_models/fairness_comparison/cplex_threads_1.prm' succeeded.
SKIP CLEXMMFPEA C0001 stage=2: resultado completo.
SKIP CLEXMMFPEA C0002 stage=2: resultado completo.
SKIP CLEXMMFPEA C0003 stage=2: resultado completo.
SKIP CLEXMMFPEA C0004 stage=2: resultado completo.
SKIP CLEXMMFPEA C0005 stage=2: resultado completo.
SKIP CLEXMMFPEA C0006 stage=2: resultado completo.
SKIP CLEXMMFPEA C0006 stage=3: resultado completo.
SKIP CLEXMMFPEA C0006 stage=4: resultado completo.
SKIP CLEXMMFPEA C0006 stage=5: resultado completo.
SKIP CLEXMMFPEA C0006 stage=6: resultado completo.
SKIP CLEXMMFPEA C0007 stage=2: resultado completo.
SKIP CLEXMMFPEA C0007 stage=3: resultado completo.
SKIP CLEXMMFPEA C0007 stage=4: resultado completo.
SKIP CLEXMMFPEA C0007 stage=5: resultado completo.
SKIP CLEXMMFPEA C0007 stage=6: resultado completo.
SKIP CLEXMMFPEA C0008 stage=2: resultado completo.
SKIP CLEXMMFPEA C0008 stage=3: resultado completo.
SKIP CLEXMMFPEA C0008 stage=4: resultado completo.
SKIP CLEXMMFPEA C0008 stage=5: resultado completo.
SKIP CLEXMMFPEA C0008 stage=6: resultado completo.
SKIP CLEXMMFPEA C0009 stage=2: resultado completo.
SKIP CLEXMMFPEA C0009 stage=3: resultado completo.
SKIP CLEXMMFPEA C0009 stage=4: resultado completo.
SKIP CLEXMMFPEA C0009 stage=5: resultado completo.
SKIP CLEXMMFPEA C0009 stage=6: resultado completo.
SKIP CLEXMMFPEA C0010 stage=2: resultado completo.
SKIP CLEXMMFPEA C0010 stage=3: resultado completo.
SKIP CLEXMMFPEA C0010 stage=4: resultado completo.
SKIP CLEXMMFPEA C0010 stage=5: resultado completo.
SKIP CLEXMMFPEA C0010 stage=6: resultado completo.
CLEXMMFPEA completado: 30 filas de resumen.
